ID,sentiment
195,Positive
196,Negative
197,Negative
198,Negative
199,Positive
200,Positive
201,Positive
202,Positive
203,Positive
204,Positive
205,Positive
206,Negative
207,Negative
208,Positive
209,Negative
210,Positive
211,Positive
212,Negative
213,Positive
214,Negative
215,Positive
216,Negative
217,Negative
218,Positive
219,Negative
220,Positive
221,Positive
222,Negative
223,Positive
224,Positive
225,Negative
226,Positive
227,Positive
228,Positive
229,Positive
230,Positive
231,Positive
232,Negative
233,Positive
234,Positive
235,Positive
236,Negative
237,Positive
238,Negative
239,Negative
240,Positive
241,Positive
242,Positive
243,Positive
244,Positive
245,Positive
246,Positive
247,Positive
248,Positive
249,Positive
250,Positive
251,Positive
252,Positive
253,Negative
254,Negative
255,Positive
256,Positive
257,Positive
258,Positive
259,Positive
260,Positive
261,Positive
262,Negative
263,Negative
264,Positive
265,Negative
266,Positive
267,Positive
268,Positive
269,Negative
270,Positive
271,Positive
272,Positive
273,Negative
274,Negative
275,Positive
276,Negative
277,Negative
278,Negative
279,Positive
280,Positive
281,Positive
282,Positive
283,Negative
284,Positive
285,Positive
286,Positive
287,Positive
288,Positive
289,Negative
290,Positive
291,Negative
292,Positive
293,Positive
294,Positive
295,Positive
296,Negative
297,Positive
298,Positive
299,Negative
300,Positive
301,Negative
302,Positive
303,Positive
304,Positive
305,Positive
306,Positive
307,Negative
308,Positive
309,Positive
310,Positive
311,Positive
312,Negative
313,Positive
314,Positive
315,Positive
316,Negative
317,Negative
318,Positive
319,Positive
320,Positive
321,Positive
322,Positive
323,Positive
324,Positive
325,Positive
326,Negative
327,Positive
328,Positive
329,Positive
330,Positive
331,Positive
332,Positive
333,Positive
334,Negative
335,Negative
336,Positive
337,Positive
338,Positive
339,Positive
340,Negative
341,Positive
342,Positive
343,Positive
344,Negative
345,Positive
346,Positive
347,Positive
348,Positive
349,Positive
350,Positive
351,Positive
352,Positive
353,Positive
354,Positive
355,Positive
356,Positive
357,Negative
358,Positive
359,Positive
360,Positive
361,Negative
362,Positive
363,Positive
364,Negative
365,Positive
366,Negative
367,Positive
368,Negative
369,Positive
370,Positive
371,Negative
372,Negative
373,Positive
374,Positive
375,Negative
376,Positive
377,Negative
378,Positive
379,Positive
380,Negative
381,Negative
382,Positive
383,Positive
384,Negative
385,Positive
386,Positive
387,Positive
388,Positive
389,Positive
390,Positive
391,Positive
392,Negative
393,Positive
394,Negative
395,Negative
396,Negative
397,Positive
398,Positive
399,Negative
400,Positive
401,Negative
402,Negative
403,Positive
404,Positive
405,Positive
406,Negative
407,Negative
408,Negative
409,Positive
410,Negative
411,Negative
412,Positive
413,Positive
414,Positive
415,Positive
416,Negative
417,Negative
418,Positive
419,Positive
420,Negative
421,Positive
422,Positive
423,Negative
424,Negative
425,Positive
426,Positive
427,Negative
428,Positive
429,Positive
430,Negative
431,Negative
432,Positive
433,Positive
434,Positive
435,Negative
436,Negative
437,Negative
438,Negative
439,Negative
440,Positive
441,Negative
442,Negative
443,Negative
444,Negative
445,Positive
446,Positive
447,Positive
448,Negative
449,Positive
450,Negative
451,Positive
452,Positive
453,Positive
454,Negative
455,Positive
456,Negative
457,Positive
458,Positive
459,Positive
460,Positive
461,Negative
462,Positive
463,Positive
464,Negative
465,Positive
466,Positive
467,Positive
468,Positive
469,Negative
470,Positive
471,Positive
472,Positive
473,Negative
474,Positive
475,Negative
476,Positive
477,Positive
478,Positive
479,Positive
480,Positive
481,Positive
482,Positive
483,Positive
484,Positive
485,Negative
486,Positive
487,Positive
488,Positive
489,Positive
490,Positive
491,Positive
492,Positive
493,Positive
494,Positive
495,Positive
496,Positive
497,Positive
498,Positive
499,Positive
500,Positive
501,Positive
502,Negative
503,Positive
504,Positive
505,Negative
506,Positive
507,Positive
508,Positive
509,Positive
510,Negative
511,Positive
512,Positive
513,Positive
514,Positive
515,Negative
516,Negative
517,Positive
518,Positive
519,Positive
520,Positive
521,Positive
522,Positive
523,Positive
524,Negative
525,Negative
526,Positive
527,Negative
528,Negative
529,Positive
530,Negative
531,Negative
532,Positive
533,Positive
534,Positive
535,Positive
536,Positive
537,Positive
538,Negative
539,Positive
540,Positive
541,Positive
542,Negative
543,Negative
544,Positive
545,Positive
546,Positive
547,Negative
548,Positive
549,Positive
550,Positive
551,Positive
552,Negative
553,Negative
554,Negative
555,Positive
556,Negative
557,Positive
558,Negative
559,Negative
560,Negative
561,Positive
562,Positive
563,Negative
564,Positive
565,Positive
566,Positive
567,Positive
568,Positive
569,Negative
570,Negative
571,Positive
572,Positive
573,Positive
574,Positive
575,Positive
576,Positive
577,Positive
578,Positive
579,Positive
580,Positive
581,Positive
582,Positive
583,Positive
584,Positive
585,Positive
586,Positive
587,Positive
588,Positive
589,Positive
590,Positive
591,Positive
592,Negative
593,Positive
594,Positive
595,Negative
596,Positive
597,Positive
598,Negative
599,Positive
600,Positive
601,Positive
602,Positive
603,Positive
604,Negative
605,Positive
606,Negative
607,Positive
608,Negative
609,Positive
610,Positive
611,Positive
612,Positive
613,Positive
614,Negative
615,Positive
616,Negative
617,Positive
618,Positive
619,Negative
620,Positive
621,Positive
622,Negative
623,Negative
624,Positive
625,Positive
626,Positive
627,Negative
628,Negative
629,Positive
630,Negative
631,Positive
632,Positive
633,Positive
634,Positive
635,Negative
636,Negative
637,Negative
638,Negative
639,Negative
640,Positive
641,Negative
642,Negative
643,Positive
644,Positive
645,Negative
646,Positive
647,Positive
648,Positive
649,Positive
650,Positive
651,Positive
652,Positive
653,Negative
654,Positive
655,Negative
656,Positive
657,Positive
658,Negative
659,Negative
660,Positive
661,Negative
662,Positive
663,Negative
664,Positive
665,Positive
666,Positive
667,Positive
668,Positive
669,Positive
670,Negative
671,Negative
672,Positive
673,Negative
674,Positive
675,Positive
676,Positive
677,Negative
678,Positive
679,Positive
680,Positive
681,Positive
682,Positive
683,Positive
684,Negative
685,Negative
686,Positive
687,Negative
688,Positive
689,Positive
690,Negative
691,Positive
692,Positive
693,Positive
694,Positive
695,Positive
696,Positive
697,Negative
698,Positive
699,Negative
700,Positive
701,Positive
702,Positive
703,Positive
704,Negative
705,Negative
706,Positive
707,Negative
708,Positive
709,Negative
710,Positive
711,Negative
712,Negative
713,Negative
714,Positive
715,Negative
716,Positive
717,Positive
718,Negative
719,Positive
720,Positive
721,Negative
722,Positive
723,Positive
724,Positive
725,Negative
726,Negative
727,Positive
728,Positive
729,Negative
730,Positive
731,Negative
732,Positive
733,Positive
734,Positive
735,Negative
736,Positive
737,Positive
738,Negative
739,Positive
740,Positive
741,Positive
742,Positive
743,Positive
744,Positive
745,Positive
746,Positive
747,Positive
748,Negative
749,Negative
750,Positive
751,Positive
752,Negative
753,Negative
754,Positive
755,Positive
756,Positive
757,Negative
758,Negative
759,Positive
760,Positive
761,Positive
762,Positive
763,Positive
764,Positive
765,Positive
766,Negative
767,Negative
768,Positive
769,Negative
770,Positive
771,Negative
772,Positive
773,Positive
774,Positive
775,Positive
776,Positive
777,Positive
778,Positive
779,Positive
780,Positive
781,Positive
782,Positive
783,Negative
784,Positive
785,Positive
786,Positive
787,Negative
788,Positive
789,Negative
790,Positive
791,Positive
792,Positive
793,Positive
794,Positive
795,Negative
796,Positive
797,Negative
798,Negative
799,Positive
800,Positive
801,Positive
802,Positive
803,Negative
804,Positive
805,Positive
806,Positive
807,Negative
808,Negative
809,Negative
810,Positive
811,Positive
812,Positive
813,Positive
814,Positive
815,Positive
816,Positive
817,Positive
818,Negative
819,Positive
820,Positive
821,Negative
822,Positive
823,Negative
824,Negative
825,Negative
826,Positive
827,Positive
828,Negative
829,Positive
830,Positive
831,Positive
832,Positive
833,Negative
834,Negative
835,Positive
836,Positive
837,Positive
838,Negative
839,Positive
840,Positive
841,Negative
842,Positive
843,Positive
844,Positive
845,Positive
846,Positive
847,Positive
848,Negative
849,Positive
850,Negative
851,Positive
852,Positive
853,Positive
854,Positive
855,Positive
856,Positive
857,Negative
858,Positive
859,Positive
860,Positive
861,Positive
862,Positive
863,Negative
864,Negative
865,Positive
866,Positive
867,Negative
868,Positive
869,Positive
870,Negative
871,Negative
872,Positive
873,Positive
874,Negative
875,Negative
876,Negative
877,Positive
878,Positive
879,Negative
880,Negative
881,Negative
882,Positive
883,Negative
884,Positive
885,Positive
886,Negative
887,Negative
888,Positive
889,Positive
890,Negative
891,Positive
892,Negative
893,Positive
894,Positive
895,Negative
896,Negative
897,Positive
898,Positive
899,Positive
900,Positive
901,Positive
902,Negative
903,Positive
904,Positive
905,Negative
906,Negative
907,Positive
908,Positive
909,Positive
910,Positive
911,Negative
912,Positive
913,Positive
914,Positive
915,Negative
916,Positive
917,Negative
918,Positive
919,Positive
920,Negative
921,Positive
922,Negative
923,Positive
924,Negative
925,Negative
926,Positive
927,Negative
928,Positive
929,Positive
930,Negative
931,Positive
932,Negative
933,Positive
934,Positive
935,Positive
936,Positive
937,Positive
938,Negative
939,Positive
940,Negative
941,Negative
942,Positive
943,Positive
944,Positive
945,Negative
946,Positive
947,Negative
948,Positive
949,Positive
950,Positive
951,Positive
952,Positive
953,Negative
954,Positive
955,Positive
956,Positive
957,Positive
958,Positive
959,Negative
960,Positive
961,Positive
962,Positive
963,Positive
964,Positive
965,Negative
966,Positive
967,Positive
968,Negative
969,Positive
970,Positive
971,Negative
972,Positive
973,Positive
974,Positive
975,Positive
976,Positive
977,Negative
978,Negative
979,Negative
980,Negative
981,Positive
982,Positive
983,Negative
984,Positive
985,Negative
986,Positive
987,Positive
988,Positive
989,Positive
990,Negative
991,Positive
992,Positive
993,Positive
994,Negative
995,Positive
996,Negative
997,Negative
998,Negative
999,Positive
1000,Negative
1001,Positive
1002,Negative
1003,Positive
1004,Negative
1005,Positive
1006,Negative
1007,Positive
1008,Negative
1009,Positive
1010,Positive
1011,Negative
1012,Positive
1013,Negative
1014,Negative
1015,Positive
1016,Positive
1017,Positive
1018,Positive
1019,Positive
1020,Positive
1021,Positive
1022,Negative
1023,Positive
1024,Negative
1025,Positive
1026,Negative
1027,Negative
1028,Positive
1029,Positive
1030,Positive
1031,Negative
1032,Positive
1033,Positive
1034,Positive
1035,Positive
1036,Positive
1037,Negative
1038,Positive
1039,Positive
1040,Positive
1041,Negative
1042,Positive
1043,Positive
1044,Positive
1045,Positive
1046,Positive
1047,Negative
1048,Positive
1049,Negative
1050,Negative
1051,Positive
1052,Positive
1053,Negative
1054,Negative
1055,Positive
1056,Positive
1057,Positive
1058,Positive
1059,Negative
1060,Positive
1061,Positive
1062,Positive
1063,Negative
1064,Positive
1065,Negative
1066,Positive
1067,Negative
1068,Positive
1069,Positive
1070,Positive
1071,Positive
1072,Positive
1073,Positive
1074,Positive
1075,Positive
1076,Positive
1077,Negative
1078,Positive
1079,Positive
1080,Negative
1081,Negative
1082,Negative
1083,Negative
1084,Positive
1085,Positive
1086,Positive
1087,Negative
1088,Positive
1089,Negative
1090,Positive
1091,Positive
1092,Positive
1093,Positive
1094,Positive
1095,Positive
1096,Positive
1097,Positive
1098,Positive
1099,Positive
1100,Negative
1101,Positive
1102,Positive
1103,Positive
1104,Positive
1105,Negative
1106,Negative
1107,Positive
1108,Positive
1109,Positive
1110,Positive
1111,Positive
1112,Positive
1113,Positive
1114,Negative
1115,Negative
1116,Positive
1117,Positive
1118,Positive
1119,Negative
1120,Positive
1121,Negative
1122,Positive
1123,Negative
1124,Positive
1125,Positive
1126,Positive
1127,Positive
1128,Positive
1129,Positive
1130,Positive
1131,Positive
1132,Positive
1133,Positive
1134,Positive
1135,Negative
1136,Positive
1137,Positive
1138,Positive
1139,Positive
1140,Positive
1141,Negative
1142,Negative
1143,Negative
1144,Negative
1145,Positive
1146,Positive
1147,Positive
1148,Positive
1149,Negative
1150,Positive
1151,Negative
1152,Positive
1153,Positive
1154,Positive
1155,Positive
1156,Negative
1157,Positive
1158,Positive
1159,Negative
1160,Positive
1161,Positive
1162,Negative
1163,Positive
1164,Positive
1165,Positive
1166,Positive
1167,Positive
1168,Negative
1169,Negative
1170,Positive
1171,Positive
1172,Negative
1173,Positive
1174,Negative
1175,Positive
1176,Negative
1177,Positive
1178,Positive
1179,Positive
1180,Positive
1181,Positive
1182,Positive
1183,Positive
1184,Negative
1185,Positive
1186,Positive
1187,Positive
1188,Positive
1189,Positive
1190,Positive
1191,Positive
1192,Negative
1193,Positive
1194,Positive
1195,Positive
1196,Positive
1197,Negative
1198,Negative
1199,Negative
1200,Negative
1201,Positive
1202,Positive
1203,Positive
1204,Positive
1205,Positive
1206,Negative
1207,Negative
1208,Positive
1209,Positive
1210,Positive
1211,Positive
1212,Positive
1213,Positive
1214,Positive
1215,Positive
1216,Positive
1217,Positive
1218,Positive
1219,Positive
1220,Negative
1221,Negative
1222,Positive
1223,Negative
1224,Negative
1225,Negative
1226,Positive
1227,Positive
1228,Positive
1229,Positive
1230,Negative
1231,Positive
1232,Negative
1233,Negative
1234,Positive
1235,Positive
1236,Negative
1237,Positive
1238,Positive
1239,Positive
1240,Positive
1241,Negative
1242,Negative
1243,Positive
1244,Positive
1245,Negative
1246,Negative
1247,Positive
1248,Negative
1249,Positive
1250,Positive
1251,Negative
1252,Negative
1253,Positive
1254,Positive
1255,Positive
1256,Negative
1257,Positive
1258,Negative
1259,Positive
1260,Positive
1261,Positive
1262,Negative
1263,Positive
1264,Positive
1265,Negative
1266,Negative
1267,Positive
1268,Positive
1269,Positive
1270,Negative
1271,Positive
1272,Positive
1273,Positive
1274,Positive
1275,Positive
1276,Positive
1277,Negative
1278,Negative
1279,Positive
1280,Positive
1281,Negative
1282,Positive
1283,Positive
1284,Positive
1285,Positive
1286,Positive
1287,Negative
1288,Positive
1289,Positive
1290,Positive
1291,Negative
1292,Negative
1293,Negative
1294,Positive
1295,Positive
1296,Negative
1297,Positive
1298,Positive
1299,Positive
1300,Positive
1301,Positive
1302,Positive
1303,Positive
1304,Positive
1305,Negative
1306,Positive
1307,Positive
1308,Positive
1309,Negative
1310,Positive
1311,Positive
1312,Positive
1313,Positive
1314,Negative
1315,Positive
1316,Positive
1317,Positive
1318,Positive
1319,Negative
1320,Negative
1321,Positive
1322,Positive
1323,Positive
1324,Positive
1325,Positive
1326,Positive
1327,Negative
1328,Negative
1329,Positive
1330,Positive
1331,Positive
1332,Positive
1333,Negative
1334,Negative
1335,Positive
1336,Positive
1337,Positive
1338,Positive
1339,Positive
1340,Negative
1341,Positive
1342,Positive
1343,Positive
1344,Positive
1345,Negative
1346,Negative
1347,Positive
1348,Positive
1349,Negative
1350,Positive
1351,Positive
1352,Positive
1353,Negative
1354,Positive
1355,Positive
1356,Positive
1357,Positive
1358,Positive
1359,Positive
1360,Negative
1361,Positive
1362,Positive
1363,Positive
1364,Negative
1365,Positive
1366,Negative
1367,Negative
1368,Positive
1369,Negative
1370,Positive
1371,Negative
1372,Negative
1373,Positive
1374,Positive
1375,Positive
1376,Positive
1377,Positive
1378,Positive
1379,Positive
1380,Positive
1381,Positive
1382,Positive
1383,Positive
1384,Positive
1385,Negative
1386,Positive
1387,Negative
1388,Positive
1389,Positive
1390,Positive
1391,Positive
1392,Negative
1393,Positive
1394,Positive
1395,Positive
1396,Positive
1397,Negative
1398,Positive
1399,Positive
1400,Positive
1401,Positive
1402,Positive
1403,Negative
1404,Negative
1405,Positive
1406,Positive
1407,Positive
1408,Positive
1409,Positive
1410,Positive
1411,Positive
1412,Negative
1413,Negative
1414,Positive
1415,Negative
1416,Positive
1417,Negative
1418,Positive
1419,Positive
1420,Positive
1421,Negative
1422,Positive
1423,Negative
1424,Positive
1425,Positive
1426,Positive
1427,Positive
1428,Positive
1429,Positive
1430,Positive
1431,Positive
1432,Negative
1433,Negative
1434,Negative
1435,Positive
1436,Negative
1437,Positive
1438,Negative
1439,Negative
1440,Positive
1441,Positive
1442,Positive
1443,Positive
1444,Negative
1445,Negative
1446,Positive
1447,Negative
1448,Positive
1449,Positive
1450,Positive
1451,Positive
1452,Positive
1453,Positive
1454,Positive
1455,Negative
1456,Negative
1457,Positive
1458,Positive
1459,Positive
1460,Positive
1461,Positive
1462,Positive
1463,Positive
1464,Positive
1465,Positive
1466,Positive
1467,Positive
1468,Positive
1469,Negative
1470,Positive
1471,Negative
1472,Negative
1473,Negative
1474,Negative
1475,Positive
1476,Negative
1477,Positive
1478,Negative
1479,Positive
1480,Positive
1481,Positive
1482,Negative
1483,Positive
1484,Positive
1485,Positive
1486,Positive
1487,Positive
1488,Negative
1489,Negative
1490,Negative
1491,Negative
1492,Positive
1493,Positive
1494,Positive
1495,Positive
1496,Positive
1497,Positive
1498,Negative
1499,Positive
1500,Negative
1501,Positive
1502,Positive
1503,Positive
1504,Positive
1505,Positive
1506,Negative
1507,Positive
1508,Negative
1509,Positive
1510,Positive
1511,Negative
1512,Positive
1513,Positive
1514,Positive
1515,Negative
1516,Positive
1517,Positive
1518,Positive
1519,Positive
1520,Positive
1521,Negative
1522,Negative
1523,Positive
1524,Positive
1525,Positive
1526,Positive
1527,Negative
1528,Positive
1529,Positive
1530,Negative
1531,Negative
1532,Positive
1533,Negative
1534,Positive
1535,Positive
1536,Positive
1537,Positive
1538,Negative
1539,Positive
1540,Positive
1541,Negative
1542,Negative
1543,Positive
1544,Negative
1545,Positive
1546,Positive
1547,Positive
1548,Positive
1549,Positive
1550,Negative
1551,Positive
1552,Positive
1553,Positive
1554,Positive
1555,Positive
1556,Positive
1557,Positive
1558,Positive
1559,Positive
1560,Negative
1561,Positive
1562,Positive
1563,Positive
1564,Positive
1565,Positive
1566,Positive
1567,Positive
1568,Positive
1569,Positive
1570,Negative
1571,Positive
1572,Positive
1573,Positive
1574,Positive
1575,Positive
1576,Positive
1577,Positive
1578,Positive
1579,Negative
1580,Positive
1581,Positive
1582,Negative
1583,Negative
1584,Positive
1585,Positive
1586,Negative
1587,Positive
1588,Positive
1589,Positive
1590,Negative
1591,Positive
1592,Positive
1593,Negative
1594,Positive
1595,Positive
1596,Negative
1597,Positive
1598,Positive
1599,Positive
1600,Positive
1601,Negative
1602,Positive
1603,Positive
1604,Positive
1605,Positive
1606,Positive
1607,Positive
1608,Positive
1609,Positive
1610,Negative
1611,Positive
1612,Negative
1613,Positive
1614,Positive
1615,Positive
1616,Positive
1617,Negative
1618,Positive
1619,Negative
1620,Negative
1621,Positive
1622,Positive
1623,Positive
1624,Positive
1625,Positive
1626,Negative
1627,Positive
1628,Negative
1629,Negative
1630,Positive
1631,Positive
1632,Positive
1633,Positive
1634,Positive
1635,Negative
1636,Negative
1637,Negative
1638,Negative
1639,Negative
1640,Positive
1641,Positive
1642,Positive
1643,Negative
1644,Positive
1645,Negative
1646,Negative
1647,Positive
1648,Positive
1649,Positive
1650,Positive
1651,Negative
1652,Negative
1653,Positive
1654,Negative
1655,Positive
1656,Negative
1657,Positive
1658,Negative
1659,Negative
1660,Positive
1661,Negative
1662,Positive
1663,Negative
1664,Positive
1665,Positive
1666,Positive
1667,Negative
1668,Positive
1669,Positive
1670,Negative
1671,Positive
1672,Positive
1673,Positive
1674,Positive
1675,Positive
1676,Positive
1677,Positive
1678,Negative
1679,Negative
1680,Positive
1681,Negative
1682,Positive
1683,Positive
1684,Positive
1685,Positive
1686,Negative
1687,Positive
1688,Positive
1689,Positive
1690,Positive
1691,Negative
1692,Positive
1693,Positive
1694,Positive
1695,Positive
1696,Positive
1697,Positive
1698,Positive
1699,Positive
1700,Positive
1701,Positive
1702,Positive
1703,Positive
1704,Negative
1705,Positive
1706,Negative
1707,Positive
1708,Positive
1709,Positive
1710,Negative
1711,Positive
1712,Positive
1713,Positive
1714,Positive
1715,Positive
1716,Positive
1717,Negative
1718,Positive
1719,Positive
1720,Negative
1721,Positive
1722,Positive
1723,Positive
1724,Positive
1725,Positive
1726,Positive
1727,Positive
1728,Positive
1729,Positive
1730,Positive
1731,Positive
1732,Positive
1733,Positive
1734,Positive
1735,Positive
1736,Positive
1737,Positive
1738,Positive
1739,Negative
1740,Positive
1741,Positive
1742,Positive
1743,Positive
1744,Negative
1745,Negative
1746,Positive
1747,Positive
1748,Positive
1749,Positive
1750,Positive
1751,Positive
1752,Negative
1753,Positive
1754,Negative
1755,Positive
1756,Positive
1757,Positive
1758,Positive
1759,Positive
1760,Positive
1761,Positive
1762,Positive
1763,Negative
1764,Positive
1765,Positive
1766,Positive
1767,Negative
1768,Negative
1769,Positive
1770,Positive
1771,Positive
1772,Negative
1773,Positive
1774,Positive
1775,Positive
1776,Positive
1777,Positive
1778,Positive
1779,Positive
1780,Negative
1781,Positive
1782,Negative
1783,Positive
1784,Positive
1785,Positive
1786,Negative
1787,Positive
1788,Positive
1789,Positive
1790,Negative
1791,Positive
1792,Positive
1793,Negative
1794,Positive
1795,Positive
1796,Positive
1797,Positive
1798,Positive
1799,Positive
1800,Positive
1801,Positive
1802,Positive
1803,Positive
1804,Negative
1805,Positive
1806,Positive
1807,Positive
1808,Positive
1809,Negative
1810,Negative
1811,Negative
1812,Positive
1813,Negative
1814,Positive
1815,Negative
1816,Positive
1817,Positive
1818,Positive
1819,Positive
1820,Negative
1821,Positive
1822,Positive
1823,Negative
1824,Positive
1825,Positive
1826,Positive
1827,Positive
1828,Negative
1829,Positive
1830,Positive
1831,Positive
1832,Positive
1833,Positive
1834,Positive
1835,Positive
1836,Positive
1837,Positive
1838,Positive
1839,Positive
1840,Positive
1841,Positive
1842,Negative
1843,Positive
1844,Positive
1845,Negative
1846,Negative
1847,Positive
1848,Negative
1849,Positive
1850,Negative
1851,Positive
1852,Negative
1853,Positive
1854,Positive
1855,Negative
1856,Positive
1857,Positive
1858,Positive
1859,Positive
1860,Negative
1861,Positive
1862,Negative
1863,Negative
1864,Positive
1865,Negative
1866,Positive
1867,Positive
1868,Negative
1869,Positive
1870,Positive
1871,Positive
1872,Positive
1873,Positive
1874,Negative
1875,Negative
1876,Positive
1877,Positive
1878,Positive
1879,Negative
1880,Positive
1881,Positive
1882,Positive
1883,Positive
1884,Negative
1885,Positive
1886,Positive
1887,Positive
1888,Negative
1889,Positive
1890,Negative
1891,Negative
1892,Negative
1893,Negative
1894,Positive
1895,Negative
1896,Positive
1897,Negative
1898,Negative
1899,Positive
1900,Positive
1901,Positive
1902,Positive
1903,Negative
1904,Positive
1905,Negative
1906,Positive
1907,Negative
1908,Negative
1909,Positive
1910,Positive
1911,Positive
1912,Negative
1913,Positive
1914,Positive
1915,Positive
1916,Positive
1917,Positive
1918,Positive
1919,Positive
1920,Negative
1921,Negative
1922,Positive
1923,Positive
1924,Positive
1925,Positive
1926,Positive
1927,Negative
1928,Negative
1929,Positive
1930,Positive
1931,Positive
1932,Positive
1933,Positive
1934,Negative
1935,Negative
1936,Positive
1937,Positive
1938,Negative
1939,Positive
1940,Positive
1941,Positive
1942,Positive
1943,Positive
1944,Positive
1945,Positive
1946,Positive
1947,Positive
1948,Positive
1949,Positive
1950,Negative
1951,Positive
1952,Positive
1953,Positive
1954,Positive
1955,Positive
1956,Positive
1957,Negative
1958,Negative
1959,Positive
1960,Negative
1961,Positive
1962,Negative
1963,Negative
1964,Positive
1965,Positive
1966,Negative
1967,Negative
1968,Positive
1969,Positive
1970,Positive
1971,Positive
1972,Positive
1973,Positive
1974,Negative
1975,Positive
1976,Positive
1977,Positive
1978,Positive
1979,Positive
1980,Negative
1981,Positive
1982,Positive
1983,Negative
1984,Negative
1985,Positive
1986,Negative
1987,Positive
1988,Positive
1989,Negative
1990,Negative
1991,Negative
1992,Negative
1993,Positive
1994,Negative
1995,Negative
1996,Positive
1997,Positive
1998,Positive
1999,Positive
2000,Negative
2001,Positive
2002,Positive
2003,Positive
2004,Positive
2005,Positive
2006,Positive
2007,Positive
2008,Negative
2009,Negative
2010,Positive
2011,Positive
2012,Negative
2013,Negative
2014,Positive
2015,Negative
2016,Positive
2017,Negative
2018,Positive
2019,Positive
2020,Negative
2021,Positive
2022,Positive
2023,Positive
2024,Positive
2025,Positive
2026,Negative
2027,Negative
2028,Positive
2029,Positive
2030,Positive
2031,Positive
2032,Positive
2033,Positive
2034,Positive
2035,Negative
2036,Negative
2037,Negative
2038,Positive
2039,Negative
2040,Positive
2041,Negative
2042,Negative
2043,Positive
2044,Positive
2045,Positive
2046,Positive
2047,Positive
2048,Positive
2049,Positive
2050,Positive
2051,Positive
2052,Positive
2053,Positive
2054,Positive
2055,Positive
2056,Positive
2057,Positive
2058,Negative
2059,Positive
2060,Negative
2061,Positive
2062,Negative
2063,Negative
2064,Negative
2065,Positive
2066,Positive
2067,Positive
2068,Positive
2069,Positive
2070,Positive
2071,Positive
2072,Negative
2073,Negative
2074,Positive
2075,Positive
2076,Positive
2077,Positive
2078,Negative
2079,Positive
2080,Negative
2081,Positive
2082,Positive
2083,Negative
2084,Positive
2085,Negative
2086,Positive
2087,Positive
2088,Positive
2089,Positive
2090,Positive
2091,Positive
2092,Positive
2093,Positive
2094,Negative
2095,Positive
2096,Positive
2097,Positive
2098,Positive
2099,Negative
2100,Positive
2101,Positive
2102,Positive
2103,Positive
2104,Positive
2105,Positive
2106,Positive
2107,Positive
2108,Positive
2109,Positive
2110,Positive
2111,Negative
2112,Negative
2113,Negative
2114,Negative
2115,Positive
2116,Negative
2117,Positive
2118,Negative
2119,Positive
2120,Positive
2121,Negative
2122,Negative
2123,Positive
2124,Positive
2125,Positive
2126,Negative
2127,Positive
2128,Negative
2129,Negative
2130,Positive
2131,Positive
2132,Positive
2133,Positive
2134,Positive
2135,Positive
2136,Negative
2137,Negative
2138,Positive
2139,Positive
2140,Negative
